	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YPR193C	-0.06	0.15	0.17	-0.015	-0.2	0.0	-0.06	-0.14	-0.02	-0.04	-0.06	0.38	0.12	-0.2	-0.22	0.28	-0.12	-0.02
YPR192W	-0.2	-0.26	0.22	-0.24	0.1	0.2	0.05	-0.06	0.02	0.04	-0.03	-0.38	0.02	-0.06	0.24	-0.03	0.3	0.07
YPR191W	-0.06	0.34	0.31	0.07	-0.14	-0.4	-0.02	-0.29	0.05	0.07	0.09	0.04	0.12	-0.31	0.25	0.11	-0.29	0.02
YPR190C	0.14	0.02	-0.42	-0.04	0.05	0.245	0.44	-0.01	0.37	-0.08	0.04	-0.18	0.1	-0.2	-0.01	0.0	-0.26	0.05
YPR189W	-0.51	-0.395	-0.28	-0.05	0.1	0.09	-0.21	0.12	0.03	-0.07	0.24	-0.1	-0.07	0.0	0.27	0.12	0.22	0.09
YPR188C	0.01	-0.28	0.11	-0.13	-0.01	-0.15	0.24	-0.05	0.37	0.09	-0.17	0.08	0.26	-0.34	0.02	-0.3	0.36	-0.11
YPR187W	0.11	-0.03	-0.51	-0.11	-0.07	-0.03	0.09	-0.11	0.28	0.34	0.06	-0.09	0.17	-0.37	0.07	-0.09	0.19	0.04
YPR186C	0.1	0.1	-0.02	-0.01	0.0	0.07	0.14	0.01	0.16	-0.07	-0.33	-0.11	0.32	-0.31	-0.07	-0.05	-0.07	0.21
YPR185W	-0.36	0.12	0.12	0.49	0.32	0.15	-0.05	-0.1	-0.3	0.16	-0.15	0.24	0.03	-0.03	-0.075	-0.12	-0.1	-0.1
YPR184W	-0.12	0.04	0.49	0.91	0.28	-0.25	-0.15	-0.52	0.72	-0.42	-0.07	0.08	0.04	-0.28	0.12	-0.35	-0.42	-0.11
YPR183W	0.08	-0.27	0.38	0.46	0.3	-0.01	0.46	-0.38	-0.08	-0.45	-0.06	-0.01	0.24	-0.27	0.24	-0.38	-0.08	-0.19
YPR182W	-0.05	-0.4	0.06	-0.61	0.11	-0.07	0.37	0.01	0.26	-0.17	-0.07	-0.37	0.26	-0.17	0.25	0.06	0.23	0.29
YPR181C	-0.02	-0.57	0.1	0.07	0.3	-0.13	0.41	-0.42	0.09	-0.15	0.1	0.07	0.15	-0.09	0.1	-0.07	-0.07	0.1
YPR180W	0.07	0.085	0.1	-0.29	0.13	-0.15	0.22	-0.13	0.16	0.06	-0.04	-0.31	-0.05	-0.21	0.19	-0.13	-0.04	0.44
YPR179C	-0.08	-0.03	0.1	0.4	0.0	0.24	0.04	-0.27	-0.07	-0.18	-0.09	0.26	-0.45	-0.18	0.0	0.4	-0.14	0.04
YPR178W	0.02	1.48	-0.15	-0.4	-0.1	-0.33	0.15	0.04	0.06	-0.1	-0.11	-0.23	0.07	-0.31	0.04	-0.17	0.02	0.0
YPR177C	0.0	-0.19	0.3	-0.19	0.18	-0.17	0.32	0.22	0.12	-0.07	-0.07	0.07	-0.31	0.07	-0.21	-0.17	-0.02	0.33
YPR176C	-0.01	-0.25	0.31	0.01	0.25	-0.11	0.26	-0.04	-0.04	-0.19	0.02	-0.14	0.14	-0.18	0.08	-0.23	0.11	0.0
YPR175W	-0.41	-0.57	1.15	0.69	0.61	0.0	-0.22	-0.5	-0.43	-0.33	0.22	0.64	0.42	-0.09	-0.03	-0.5	-0.08	-0.57
YPR174C	-0.24	-0.4	0.97	0.62	0.6	-0.11	-0.04	-0.7	-0.4	-0.24	0.25	0.3	0.46	-0.13	-0.06	-0.31	-0.33	-0.24
YPR173C	-0.11	-0.37	0.32	0.24	0.02	-0.48	-0.08	-0.045	-0.01	0.09	0.18	0.25	-0.03	-0.35	-0.01	0.06	0.06	0.22
YPR172W	0.45	0.28	0.35	0.54	0.0	0.08	0.0	-0.03	-0.03	-0.21	-0.18	-0.16	0.08	-0.49	-0.21	-0.33	0.02	-0.14
YPR171W	-0.33	-0.11	-0.42	0.08	0.14	0.2	0.08	0.14	-0.06	0.1	-0.21	0.16	-0.07	-0.04	0.03	0.1	0.2	0.17
YPR170C	0.71	0.17	0.22	0.07	-0.08	0.09	0.27	0.13	0.04	-0.22	-0.16	-0.45	0.11	-0.47	0.09	-0.35	0.25	-0.35
YPR169W	0.21	-0.18	-0.59	-0.04	0.015	0.07	0.31	0.15	0.28	0.15	0.03	0.03	-0.11	-0.28	-0.205	-0.13	0.1	0.0
YPR168W	-0.06	0.18	0.03	-0.02	-0.07	-0.22	0.03	0.16	0.16	-0.02	0.03	-0.44	-0.29	-0.25	-0.01	-0.22	-0.16	1.15
YPR167C	0.07	0.38	0.0	-0.08	0.01	0.1	0.26	0.09	0.27	0.15	0.03	-0.1	-0.26	-0.48	-0.28	-0.08	0.02	-0.21
YPR166C	0.08	0.115	0.15	0.075	0.0	0.26	0.26	0.26	0.11	-0.09	-0.22	-0.29	0.15	-0.29	0.02	-0.35	0.17	-0.23
YPR165W	0.34	0.47	-0.07	0.24	0.145	0.05	0.25	0.13	0.1	-0.13	-0.21	-0.49	-0.31	-0.55	0.14	-0.09	0.28	-0.13
YPR164W	-0.29	-0.38	-0.23	0.15	-0.11	-0.13	-0.07	0.04	0.24	0.05	0.26	-0.09	-0.07	-0.23	0.2	0.15	0.37	0.14
YPR163C	0.15	-0.44	-0.72	-0.18	-0.2	-0.24	-0.03	-0.09	0.32	0.25	0.53	0.05	0.05	-0.2	0.43	0.29	0.22	-0.18
YPR162C	-0.1	-0.63	0.22	-0.17	0.04	0.1	0.15	0.12	0.1	-0.1	0.12	-0.15	-0.03	-0.35	0.18	0.12	0.37	0.0
YPR161C	-0.05	-0.13	-0.21	0.15	-0.26	-0.05	0.24	0.11	-0.26	-0.05	0.11	0.1	0.01	-0.14	-0.02	-0.12	0.32	0.11
YPR160W	0.0	1.22	1.81	1.38	0.68	-0.13	-0.23	-0.41	-0.44	-0.5	-0.41	-0.48	-0.28	-0.5	0.06	-0.42	-0.74	-0.58
YPR159W	0.17	0.16	0.17	0.38	0.47	-0.07	0.04	-0.13	-0.3	-0.31	-0.1	-0.22	-0.03	-0.27	0.2	0.0	-0.23	-0.06
YPR158W	0.08	0.09	0.53	0.05	0.35	0.02	0.34	-0.15	0.07	-0.23	-0.09	-0.22	-0.06	-0.43	0.02	-0.34	-0.11	0.07
YPR157W	0.6	0.34	-0.05	-0.46	0.1	-0.34	-0.09	0.175	0.44	0.24	0.02	-0.07	-0.44	-0.38	-0.01	-0.38	0.21	0.28
YPR156C	0.09	-0.68	-0.71	-1.86	-1.07	-0.71	0.55	0.57	1.51	0.89	0.49	-0.09	-0.34	-0.83	0.04	0.12	1.29	0.76
YPR155C	0.09	-0.27	0.35	0.09	0.15	0.28	0.19	-0.18	0.11	-0.01	-0.11	-0.5	-0.05	-0.22	0.08	-0.18	0.19	0.0
YPR154W	0.21	-0.15	0.55	-0.03	0.46	-0.13	0.08	-0.06	0.08	-0.12	0.21	-0.49	-0.18	-0.47	0.22	-0.13	0.28	-0.35
YPR153W	-0.15	-0.11	-0.21	-0.17	0.16	-0.02	0.33	0.29	0.11	-0.27	-0.19	-0.09	0.0	-0.19	0.26	-0.06	0.53	-0.25
YPR152C	-0.12	-0.33	-0.12	0.62	0.16	-0.4	-0.06	0.09	0.33	0.07	0.0	-0.36	-0.06	-0.19	0.13	-0.14	-0.03	0.4
YPR151C	0.0	1.25	-0.17	-0.5	0.26	-0.15	0.03	-0.24	0.23	-0.07	-0.24	-0.24	-0.07	-0.2	0.34	-0.08	-0.22	0.07
YPR150W	-0.15	-0.15	0.68	0.21	0.03	0.15	-0.08	0.14	0.17	-0.04	-0.26	-0.24	-0.06	-0.22	-0.18	-0.3	0.21	0.11
YPR149W	-1.98	-0.61	-0.08	-0.93	-0.61	-0.88	0.66	0.52	1.44	0.85	0.63	-0.39	-0.14	-0.7	0.24	-0.06	1.15	0.89
YPR148C	0.04	0.0	0.09	0.01	-0.25	-0.13	0.18	0.1	0.07	0.09	-0.03	0.0	-0.2	-0.32	0.01	-0.23	0.26	0.3
YPR147C	0.14	0.165	0.19	0.06	0.22	-0.25	0.07	-0.05	0.09	-0.33	0.12	-0.1	0.12	-0.18	0.06	-0.27	0.23	-0.12
YPR146C	0.3	0.195	0.09	-0.51	0.08	0.16	0.27	0.0	0.24	-0.02	-0.09	0.0	0.22	-0.33	-0.15	-0.28	0.19	-0.17
YPR145W	-0.05	-0.18	-0.14	0.0	-0.12	-0.04	0.14	-0.32	-0.08	-0.06	0.12	0.26	-0.04	0.09	0.08	-0.08	0.14	0.27
YPR144C	0.36	-0.76	-0.21	-0.25	0.29	-0.6	0.05	0.32	0.47	-0.23	0.17	-0.16	0.17	-0.02	0.24	0.03	0.31	-0.14
YPR143W	0.44	-0.57	-0.88	-0.1	-0.37	0.31	0.34	0.15	0.33	-0.08	-0.21	0.05	0.27	0.03	-0.17	0.07	0.19	0.22
YPR142C	0.36	-0.53	-0.14	-0.12	0.31	-0.05	-0.07	0.06	0.32	-0.21	0.11	-0.14	-0.1	0.03	0.11	0.06	0.06	-0.05
YPR141C	1.87	-0.59	-0.26	0.05	0.18	0.26	0.43	-0.4	-0.34	-0.45	-0.88	0.02	0.19	0.27	0.35	0.27	-0.3	-0.4
YPR140W	0.26	0.16	0.73	0.22	0.18	-0.2	-0.24	-0.16	0.05	-0.24	-0.32	0.12	0.14	-0.16	0.01	-0.12	-0.13	-0.32
YPR139C	0.06	-0.42	-0.08	0.3	0.04	0.04	0.21	-0.03	0.1	-0.13	-0.1	0.22	0.4	0.16	-0.08	-0.27	-0.1	-0.17
YPR138C	-0.26	-0.69	0.01	0.01	0.1	0.48	-0.01	0.11	-0.07	-0.19	0.13	-0.09	0.08	-0.15	0.31	-0.09	0.46	-0.11
YPR137W	-0.12	-0.9	-0.65	0.05	-0.01	-0.08	0.38	0.12	0.25	-0.03	0.05	0.14	0.38	0.16	-0.06	0.1	0.14	0.23
YPR136C	-0.12	-1.28	-0.05	0.2	0.42	-0.12	0.15	0.4	0.2	0.1	0.05	0.05	0.1	0.02	-0.01	0.05	-0.39	0.23
YPR135W	-0.39	-0.6	0.8	1.28	0.67	0.04	-0.29	-0.62	-0.6	-0.67	0.29	0.73	0.6	-0.12	-0.01	-0.29	-0.25	-0.55
YPR134W	0.03	-0.23	0.5	0.14	0.22	0.3	-0.04	-0.15	0.08	0.01	-0.47	-0.08	0.14	-0.25	-0.11	-0.42	0.14	0.17
YPR133C	0.1	-0.25	-0.15	-0.23	-0.11	-0.11	0.16	-0.09	0.15	0.1	-0.05	-0.07	0.16	-0.27	0.13	0.01	0.2	0.32
YPR132W	0.07	-0.61	0.0	-0.08	0.01	0.22	0.0	-0.2	0.19	0.06	0.44	-0.23	0.13	-0.23	0.44	-0.11	0.07	-0.16
YPR131C	0.0	-0.04	-0.06	-0.1	-0.06	-0.15	0.22	0.07	0.02	-0.11	-0.19	-0.33	0.07	-0.19	0.15	-0.21	0.39	0.52
YPR130C	-0.28	-0.74	0.03	-0.15	0.14	0.33	0.26	-0.03	0.28	0.0	0.22	-0.17	0.03	-0.22	0.25	-0.12	0.02	0.15
YPR129W	-0.15	-0.4	0.0	-0.1	0.16	-0.2	0.29	-0.08	0.37	-0.28	-0.07	-0.22	-0.03	-0.2	0.25	0.02	0.12	0.54
YPR128C	-0.3	-0.42	0.16	-0.07	0.15	0.44	0.3	0.3	0.24	-0.14	0.04	-0.31	-0.2	-0.4	0.13	-0.11	0.23	-0.04
YPR127W	-0.19	-0.28	-0.02	-0.03	0.1	-0.02	0.35	0.07	0.19	-0.13	-0.09	-0.24	0.03	-0.18	0.28	-0.3	0.31	0.16
YPR126C	0.22	-0.76	0.4	0.14	0.34	0.16	0.08	-0.12	-0.01	-0.05	0.18	-0.09	0.13	-0.42	-0.21	-0.3	-0.07	0.36
YPR125W	0.14	-0.25	0.32	0.32	0.14	0.0	0.26	0.03	-0.06	-0.08	-0.16	-0.08	0.04	-0.28	-0.19	-0.34	0.07	0.11
YPR124W	-0.99	-1.13	-0.58	-0.4	0.03	0.13	0.57	0.37	0.42	0.31	0.78	-0.18	-0.05	0.04	0.6	0.27	0.11	-0.31
YPR123C	-0.46	-0.73	-0.31	-0.29	-0.1	-0.17	0.78	0.35	0.17	0.24	-0.15	0.19	0.14	0.02	-0.1	0.45	-0.19	0.17
YPR122W	0.0	0.01	0.24	0.47	-0.12	-0.33	-0.08	-0.09	0.01	-0.12	0.34	-0.16	-0.18	0.215	0.61	-0.1	-0.49	0.0
YPR121W	-0.15	-0.18	-0.24	0.09	-0.02	0.14	0.21	0.18	0.12	-0.04	-0.17	0.08	0.08	-0.17	-0.01	-0.09	0.08	0.09
YPR120C	-0.98	-0.38	0.92	0.97	0.26	-0.09	-0.18	-0.4	-0.35	-0.33	0.7	0.61	0.31	-0.23	0.1	-0.2	-0.21	-0.5
YPR119W	-2.36	-2.16	-1.96	-2.29	-1.36	0.4	1.09	1.54	1.5	0.92	0.05	-0.23	-0.42	-0.29	0.12	0.73	1.35	1.2
YPR118W	0.17	-0.26	0.01	-0.03	-0.06	-0.01	0.08	0.06	-0.03	-0.12	0.33	-0.26	-0.01	-0.26	0.28	0.01	0.29	-0.23
YPR117W	-0.44	0.83	-0.07	0.61	0.0	-0.2	-0.06	0.215	0.49	0.65	0.01	-0.59	-0.19	-0.65	0.23	-0.02	-0.61	0.0
YPR116W	0.26	-0.25	-0.17	0.21	-0.08	0.2	0.04	0.21	-0.08	-0.23	0.03	0.01	-0.42	-0.17	0.04	0.12	0.21	0.04
YPR115W	0.23	0.14	-0.215	-0.57	0.18	-0.51	0.43	0.0	0.21	0.5	-0.13	0.0	0.13	-0.21	0.02	-0.19	-0.21	0.0
YPR114W	-0.14	-0.54	0.03	-0.09	0.27	0.13	0.18	0.06	0.22	-0.33	0.1	-0.12	0.03	-0.02	0.19	-0.05	0.34	-0.27
YPR113W	0.12	0.15	-0.24	-0.15	-0.26	-0.07	0.55	0.22	0.41	-0.03	0.05	-0.28	0.1	-0.42	0.12	-0.33	0.03	0.03
YPR112C	0.38	-1.12	-0.78	-0.47	-0.28	0.27	0.43	0.525	0.62	0.18	0.51	-0.1	0.13	-0.12	-0.135	-0.15	0.28	0.2
YPR111W	-0.03	-0.26	-0.2	-0.44	-0.18	-0.07	0.44	0.04	0.33	0.05	-0.09	-0.28	-0.03	-0.28	0.18	-0.07	0.23	0.67
YPR110C	0.11	-0.62	-0.39	-0.31	-0.1	0.32	0.2	0.18	0.32	0.0	0.23	-0.22	0.01	-0.26	0.27	-0.26	0.44	0.08
YPR109W	0.14	0.05	0.17	-0.11	0.08	-0.11	0.27	0.0	0.07	-0.2	-0.2	-0.17	0.0	-0.2	0.08	-0.32	0.24	0.23
YPR108W	-0.1	-0.26	0.3	0.26	-0.26	0.41	0.11	0.13	0.18	0.04	0.17	-0.1	-0.23	-0.52	-0.17	-0.21	0.27	-0.02
YPR107C	-0.02	0.12	-0.04	-0.26	0.04	0.22	0.28	-0.02	-0.19	-0.44	-0.44	-0.13	0.14	-0.13	0.22	-0.15	0.39	0.41
YPR106W	-0.45	-0.55	-0.65	-0.38	0.12	0.58	0.2	-0.16	-0.45	-0.76	-0.33	0.26	0.58	0.3	0.66	0.07	0.51	-0.11
YPR105C	-0.09	-0.22	-0.03	-0.57	-0.03	-0.09	0.32	-0.19	-0.17	-0.22	-0.19	-0.07	0.25	-0.05	0.29	0.15	0.29	0.62
YPR104C	-0.72	-0.72	-0.72	0.05	-0.08	0.35	0.34	0.26	0.0	-0.22	-0.12	-0.1	0.03	0.31	0.35	0.34	0.46	0.19
YPR103W	0.09	-0.1	0.17	-0.07	0.01	-0.12	0.31	0.04	0.13	0.0	-0.05	-0.26	0.0	-0.59	0.06	-0.48	0.34	0.53
YPR102C	0.0	-0.32	-0.11	-0.06	-0.08	0.01	-0.02	0.07	0.27	-0.15	0.27	-0.26	-0.03	-0.41	0.39	-0.02	0.5	-0.06
YPR101W	0.14	-0.03	0.0	-0.29	-0.09	-0.01	0.12	0.12	0.07	0.04	-0.25	-0.35	-0.13	-0.31	0.26	-0.2	0.48	0.43
YPR100W	-0.02	-0.49	0.15	0.02	0.24	0.5	0.29	0.13	0.42	-0.18	0.15	-0.33	-0.08	-0.31	0.0	-0.21	0.23	-0.51
YPR099C	0.01	0.16	-0.14	-0.1	-0.01	0.16	0.43	0.27	0.3	0.02	0.02	-0.14	0.06	-0.5	-0.36	-0.23	0.27	-0.2
YPR098C	0.01	-0.07	0.15	0.17	0.19	0.54	0.17	0.02	-0.01	-0.27	0.1	-0.33	-0.16	-0.31	0.1	-0.29	0.35	-0.35
YPR097W	0.19	-0.13	-0.24	0.22	0.03	-0.15	-0.13	-0.22	0.07	0.22	0.03	0.41	0.1	0.01	-0.26	-0.05	-0.11	0.0
YPR096C	-0.01	-0.06	0.13	-0.04	-0.04	0.23	-0.14	0.09	-0.11	-0.11	-0.03	0.09	-0.11	-0.06	0.02	0.09	0.19	-0.12
YPR095C	-0.08	0.13	0.34	0.34	0.175	0.01	-0.17	-0.08	0.01	-0.09	-0.19	0.35	-0.1	-0.09	-0.08	-0.17	-0.19	-0.07
YPR094W	0.22	0.09	-0.03	0.3	0.19	0.28	-0.09	0.11	-0.09	-0.07	-0.06	-0.19	-0.46	-0.19	-0.23	-0.03	0.34	-0.09
YPR093C	0.12	0.2	0.18	0.15	-0.53	0.29	0.09	0.22	-0.04	0.35	-0.12	-0.04	0.0	-0.12	-0.47	0.12	-0.55	0.15
YPR092W	-0.08	0.07	0.19	-0.15	0.05	0.14	-0.01	0.12	0.04	-0.18	0.07	-0.01	-0.24	-0.22	0.07	-0.04	0.24	-0.08
YPR091C	-0.22	0.29	-0.12	0.1	-0.38	-0.1	0.1	-0.02	0.2	0.32	-0.07	0.15	0.13	-0.12	-0.34	0.0	-0.08	0.16
YPR090W	-0.04	-0.02	-0.04	0.09	0.08	0.05	0.11	0.15	-0.01	-0.13	-0.02	0.02	-0.08	-0.15	0.02	0.05	0.12	-0.21
YPR089W	0.03	0.06	0.13	0.05	-0.09	0.16	0.25	0.16	0.11	0.01	-0.15	0.05	0.05	-0.19	-0.46	-0.07	-0.25	0.14
YPR088C	0.02	-0.49	-0.05	-0.13	0.13	0.28	0.18	0.12	0.08	-0.08	0.05	-0.07	-0.01	-0.23	0.03	-0.08	0.3	-0.04
YPR087W	0.06	-0.31	-0.05	-0.21	0.03	-0.27	0.27	0.03	0.12	0.02	-0.12	-0.02	0.03	-0.21	0.18	-0.14	0.38	0.17
YPR086W	0.18	-0.32	-0.01	-0.01	0.05	0.42	0.18	0.0	0.07	-0.17	-0.1	-0.3	-0.07	-0.23	0.05	-0.23	0.44	0.06
YPR085C	0.1	-0.09	-0.07	-0.21	-0.02	0.05	0.17	0.15	-0.07	0.09	-0.27	-0.05	0.07	-0.21	0.0	-0.47	0.36	0.46
YPR084W	0.14	-0.41	-0.06	0.15	0.12	0.45	0.25	-0.05	-0.12	-0.1	-0.14	-0.24	0.09	-0.3	0.15	-0.28	0.35	0.01
YPR083W	-0.18	-0.4	-0.01	-0.16	0.06	-0.18	0.06	0.11	0.18	-0.06	-0.03	0.08	0.1	0.04	0.03	0.01	0.38	-0.03
YPR082C	-0.02	-0.37	0.07	-0.07	0.21	0.41	0.32	-0.21	0.11	-0.13	-0.01	-0.39	-0.11	-0.23	0.1	-0.14	0.29	0.17
YPR081C	0.34	0.31	0.12	0.01	-0.22	0.11	0.02	0.12	-0.22	-0.06	-0.3	-0.12	-0.2	-0.2	-0.2	-0.32	0.17	0.62
YPR080W	0.06	-0.48	-0.09	0.11	0.16	0.37	0.17	0.0	-0.02	-0.16	0.02	-0.39	-0.04	-0.22	0.34	-0.06	0.31	-0.1
YPR079W	0.21	0.3	0.22	-0.1	0.05	-0.06	0.12	-0.08	0.02	-0.1	-0.15	-0.26	-0.05	-0.38	0.2	-0.34	0.12	0.28
YPR078C	0.41	-0.14	0.35	0.06	0.27	0.41	0.27	-0.01	-0.25	-0.36	-0.42	-0.52	-0.15	-0.19	-0.19	-0.15	0.33	0.28
YPR077C	0.15	-0.05	0.14	-0.02	0.17	0.09	-0.02	0.01	-0.05	-0.23	-0.48	-0.02	-0.12	-0.37	0.08	-0.17	0.15	0.73
YPR076W	-0.02	-0.11	0.16	0.51	0.22	0.39	0.22	-0.14	-0.2	-0.44	-0.09	-0.07	0.11	-0.18	0.22	-0.08	-0.07	-0.42
YPR075C	-0.01	0.13	0.09	0.64	0.06	0.34	0.35	-0.1	-0.17	-0.33	-0.35	0.01	0.18	0.15	0.02	-0.12	-0.63	-0.26
YPR074C	0.17	-0.3	-0.13	0.15	-0.08	0.13	0.15	-0.04	0.18	-0.19	0.2	-0.16	-0.13	-0.19	0.18	0.02	0.18	-0.16
YPR073C	0.1	0.15	-0.13	0.04	-0.39	0.13	0.28	0.13	0.13	-0.03	-0.21	-0.06	0.02	-0.06	-0.01	-0.1	-0.1	0.09
YPR072W	0.0	-0.21	0.0	0.06	-0.16	0.15	0.16	-0.05	0.06	-0.16	0.12	0.05	0.0	-0.05	0.12	0.02	0.0	-0.11
YPR071W	-0.03	-0.01	0.19	0.08	0.17	-0.1	0.08	0.2	0.15	-0.22	0.14	-0.16	-0.08	-0.29	0.12	-0.3	0.26	-0.19
YPR070W	0.07	-0.31	0.21	-0.14	0.07	-0.25	0.08	-0.01	0.07	0.19	0.09	-0.11	-0.03	0.03	-0.13	-0.03	0.24	-0.03
YPR069C	0.25	0.2	0.15	-0.13	-0.02	-0.18	0.12	-0.1	0.01	0.12	0.06	-0.03	-0.03	-0.05	-0.02	-0.21	0.13	-0.05
YPR068C	0.0	-0.27	0.02	-0.1	-0.09	-0.16	0.35	0.46	0.57	0.085	-0.4	-0.27	-0.12	-0.12	-0.12	-0.12	0.19	0.4
YPR067W	0.06	0.37	-0.01	-0.37	-0.25	0.11	0.18	0.24	0.04	0.21	-0.17	-0.25	0.35	-0.3	-0.15	-0.19	0.23	-0.09
YPR066W	0.47	0.17	0.15	-0.08	0.07	0.01	0.15	-0.24	0.1	-0.11	0.03	-0.28	-0.02	0.03	-0.17	-0.06	-0.09	-0.11
YPR065W	0.1	0.1	-0.37	-0.19	0.14	0.19	0.15	-0.07	-0.04	0.11	0.15	-0.33	0.05	-0.07	0.38	-0.24	0.14	-0.2
YPR064W	-0.1	-0.1	0.26	-0.22	0.14	0.14	0.07	-0.04	-0.13	0.03	-0.24	-0.28	-0.08	-0.05	-0.31	-0.12	0.17	0.85
YPR063C	0.04	-0.03	-0.06	-0.01	0.12	-0.06	0.32	-0.19	0.01	-0.28	-0.06	-0.14	0.06	-0.26	0.23	-0.32	0.26	0.37
YPR062W	0.09	-0.3	-0.09	-0.19	0.04	0.51	0.36	-0.21	0.04	-0.17	0.07	-0.3	0.14	-0.23	0.22	-0.19	0.36	-0.13
YPR061C	0.16	-0.1	0.08	0.11	0.14	-0.02	0.0	0.08	0.0	-0.05	-0.27	-0.14	-0.16	-0.23	0.02	-0.42	0.16	0.78
YPR060C	0.25	-0.44	0.07	0.28	0.23	0.37	0.02	0.12	-0.1	-0.24	0.13	-0.1	0.16	-0.35	-0.1	-0.35	0.23	-0.17
YPR059C	0.02	-0.07	0.02	0.2	0.11	-0.1	0.19	-0.11	0.0	0.0	-0.05	-0.21	0.08	-0.3	0.11	-0.43	0.11	0.43
YPR058W	0.04	-0.48	-0.1	-0.08	0.18	0.26	0.23	-0.04	0.05	-0.16	0.21	-0.25	0.16	-0.16	0.21	-0.23	0.25	-0.1
YPR057W	-0.13	-0.23	-0.06	-0.02	0.06	-0.08	0.17	0.13	0.03	-0.09	-0.21	-0.08	-0.01	-0.25	0.22	-0.06	0.13	0.48
YPR056W	-0.21	-0.36	-0.07	-0.32	0.15	0.12	0.18	-0.07	-0.02	0.05	0.15	-0.09	0.07	-0.13	0.03	0.03	0.29	0.2
YPR055W	-0.55	-0.28	-0.01	-0.13	0.13	0.08	0.2	0.11	0.05	-0.15	-0.08	-0.12	-0.1	-0.35	0.0	0.14	0.17	0.58
YPR054W	-0.13	-0.11	0.2	-0.45	0.26	0.1	0.13	-0.22	-0.05	-0.2	-0.09	-0.13	0.08	-0.07	0.2	0.01	0.29	0.2
YPR053C	-0.33	-0.41	-0.24	-0.22	0.03	-0.13	0.4	0.01	0.22	-0.03	-0.11	-0.28	0.05	-0.22	0.33	0.01	0.38	0.54
YPR052C	0.11	-0.16	0.11	0.0	0.07	-0.08	0.08	-0.04	0.14	-0.29	0.0	-0.04	-0.08	-0.18	0.32	0.05	0.02	-0.01
YPR051W	-0.07	0.23	-0.11	-0.33	-0.18	0.06	0.23	0.0	0.21	0.31	-0.21	0.1	0.28	-0.31	-0.28	0.0	0.05	0.1
YPR050C	0.09	0.005	-0.08	-0.04	0.14	0.03	0.14	0.06	0.11	-0.21	0.03	-0.06	0.06	-0.08	-0.02	-0.04	0.03	-0.15
YPR049C	0.02	-0.02	-0.34	-0.28	0.11	-0.03	0.29	0.0	0.16	0.0	0.14	0.0	0.19	-0.26	-0.38	-0.02	0.07	0.35
YPR048W	0.21	-0.62	-0.13	-0.11	0.29	-0.03	0.09	0.21	0.24	-0.08	0.07	-0.06	0.03	0.04	-0.11	0.0	0.02	0.04
YPR047W	0.31	0.63	0.13	-0.01	-0.14	0.05	0.08	0.03	0.01	0.24	-0.08	-0.16	-0.1	-0.37	-0.28	-0.14	0.06	-0.3
YPR046W	-0.15	0.04	0.18	-0.16	0.0	0.0	0.17	0.06	0.12	-0.08	-0.02	0.22	0.01	-0.1	-0.16	-0.05	0.1	-0.2
